quality_of_life_numbeo,purchasing_power_numbeo,safety_numbeo,health_care_numbeo,cost_of_living_numbeo,property_price_to_income_numbeo,traffic_commute_time_numbeo,pollution_numbeo,climate_numbeo,country,gdp_ppp,homicide_rate,suicide_rate,life_expectancy,happiness,unesco_objects,distance_to_30_years,gini,incarceration_rate
188.36,102.77,78.38,74.08,125.02,8.18,28.67,19.86,80.05,Switzerland,78111.508,0.6,9.8,83.4,7.571499824523926,13.0,13.052999999999995,33.1,94.2
186.25,86.43,73.78,79.79,88.53,7.0,28.69,21.29,81.8,Denmark,63404.856,1.0,7.6,81.3,7.619500160217285,10.0,12.298000000000002,28.2,95.6
180.27,76.65,72.84,75.28,78.93,7.28,27.64,25.39,87.0,Netherlands,61816.311,0.6,9.3,81.8,7.464000225067139,12.0,13.314,28.1,94.5
178.95,80.11,72.41,76.19,76.35,8.57,28.91,11.99,56.64,Finland,53083.92,1.6,13.4,81.6,7.842100143432617,7.0,13.128,27.3,91.7
178.41,91.07,56.97,77.86,80.75,7.27,34.81,23.69,92.7,Australia,55492.205,0.9,11.3,83.0,7.183499813079834,20.0,7.875,34.4,92.3
177.64,67.3,76.25,65.85,99.67,6.11,19.9,15.97,68.81,Iceland,59268.338,0.9,11.2,82.3,7.553899765014648,3.0,7.491,26.1,92.4
176.36,68.69,74.46,76.98,74.87,10.91,25.67,20.42,77.15,Austria,59405.59,1.0,10.4,81.6,7.267799854278564,12.0,13.482999999999995,30.8,93.4
175.24,89.86,64.21,73.49,67.85,8.88,31.22,27.81,82.82,Germany,58150.203,0.9,8.3,81.7,7.1545000076293945,51.0,15.744,31.9,94.4
173.6,74.89,57.12,73.59,76.31,7.78,30.72,23.72,96.69,New Zealand,45879.609,0.7,10.3,82.0,7.276599884033203,3.0,7.972999999999999,36.2,93.4
171.81,87.76,65.87,72.92,85.3,13.0,31.79,23.27,82.62,Luxembourg,126568.69,0.3,8.6,82.4,7.324399948120117,1.0,9.729,35.4,95.2
171.72,73.55,66.28,75.59,103.56,8.09,26.93,18.09,68.68,Norway,69858.899,0.5,9.9,82.6,7.392499923706055,8.0,9.836,27.6,93.7
171.16,56.58,76.29,72.68,53.77,9.37,24.44,19.72,64.28,Estonia,41892.177,2.1,12.0,78.9,6.188799858093262,2.0,12.424,30.3,96.1
