country,numbeo_quality_of_life_index,numbeo_purchasing_power_index,numbeo_safety_index,numbeo_health_care_index,numbeo_cost_of_living_index,numbeo_property_price_to_income_ratio,numbeo_traffic_commute_time_index,numbeo_pollution_index,numbeo_climate_index,incarceration_rate,press_freedom,gender_equality_score,gini,air_quality,numbeo_kindergarden_price,life_expectancy,distance_to_30_years,happiness,gdp_ppp,homicide_rate,unesco_objects,suicide_rate
Luxembourg,207.3,148.9,65.6,76.3,65.3,9.1,26.1,21.8,82.6,107.0,81.98,0.726,33.4,8.9,1310.83,82.4,9.729,7.22790002822876,143303.598,0.3,1.0,8.6
Netherlands,198.5,103.3,73.7,78.9,64.3,7.4,23.7,21.8,87.1,65.0,87.0,0.762,26.0,8.7,1764.98,81.8,13.314,7.402999877929687,73316.845,0.6,13.0,9.3
Iceland,194.9,109.1,74.6,67.1,85.7,5.6,21.9,15.8,68.8,36.0,83.19,0.892,26.1,4.0,250.0,82.3,7.491,7.529600143432617,69833.112,0.9,3.0,11.2
Denmark,193.6,103.3,73.7,78.0,75.2,6.8,28.7,21.9,82.5,69.0,89.48,0.768,27.5,7.7,498.99,81.3,12.298000000000002,7.586400032043457,74957.663,1.0,11.0,7.6
Finland,190.4,97.3,73.7,77.3,65.5,8.3,26.0,12.0,58.9,51.0,87.94,0.861,27.1,4.9,325.55,81.6,13.128,7.804200172424316,59869.124,1.6,7.0,13.4
Oman,187.0,109.6,81.0,61.0,44.4,3.1,21.9,38.4,67.2,46.0,37.87,0.608,41.1,45.0,197.55,73.9,0.6039999999999992,6.683,39336.136,0.3,5.0,4.5
Switzerland,186.7,118.9,74.7,72.6,112.2,11.1,33.1,22.2,79.2,73.0,84.4,0.798,33.1,8.9,2783.72,83.4,13.052999999999995,7.240099906921387,89537.321,0.6,13.0,9.8
Norway,184.2,94.9,67.4,75.7,79.2,7.8,26.8,18.6,71.4,52.0,95.18,0.849,27.7,6.3,311.02,82.6,9.836,7.315499782562256,82236.121,0.5,8.0,9.9
Austria,181.5,84.4,70.7,76.6,66.8,11.0,24.1,21.8,77.8,98.0,77.3,0.777,29.8,9.6,331.51,81.6,13.482999999999995,7.097300052642822,69069.001,1.0,12.0,10.4
Estonia,180.1,69.0,76.2,76.3,53.0,10.2,21.8,16.7,64.3,132.0,85.31,0.733,30.7,4.7,309.56,78.9,12.424,6.4552001953125,45235.528,2.1,2.0,12.0
Japan,177.6,99.5,77.4,79.3,50.7,10.0,40.2,38.6,84.8,36.0,63.95,0.656,32.9,9.6,352.1,84.3,18.358,6.129000186920166,52119.561,0.3,25.0,12.2
Germany,176.5,101.0,61.1,71.7,62.7,9.8,30.3,29.2,82.7,67.0,81.91,0.796,31.7,9.0,432.8,81.7,15.744,6.8917999267578125,66037.756,0.9,52.0,8.3
Spain,176.5,78.2,63.8,77.6,48.4,7.4,26.4,35.6,94.4,113.0,75.37,0.788,34.9,9.9,447.2,83.2,14.857999999999995,6.436200141906738,50471.689,0.6,50.0,5.3
Sweden,175.0,94.6,51.6,68.6,62.2,8.1,29.1,17.7,74.0,82.0,88.15,0.823,28.9,5.1,134.3,82.4,11.078000000000005,7.395199775695801,66209.341,1.1,15.0,12.4
United States,174.0,120.9,50.7,67.6,72.9,4.1,33.8,37.1,78.9,531.0,71.22,0.763,39.8,9.1,1376.36,78.5,8.308,6.893700122833252,80412.41,5.0,25.0,14.5
Slovenia,173.4,68.0,75.8,66.5,49.3,11.2,25.2,22.4,76.1,84.0,70.59,0.741,24.0,14.9,492.31,81.3,14.539,6.649899959564209,51406.557,0.5,5.0,14.0
New Zealand,168.4,93.0,52.3,67.7,68.2,10.5,35.6,28.1,95.5,173.0,84.23,0.84,36.2,4.3,771.62,82.0,7.972999999999999,7.122900009155273,53809.189,0.7,3.0,10.3
Qatar,165.9,127.4,84.0,72.3,55.0,6.7,31.0,60.5,36.0,58.0,55.28,0.624,41.1,37.6,745.61,77.2,2.264000000000003,6.74,114210.448,0.4,1.0,4.7
Lithuania,165.0,61.8,67.2,74.4,48.4,11.1,23.8,26.9,67.8,177.0,86.79,0.804,36.0,10.4,538.43,76.0,15.051000000000002,6.763000011444092,49244.687,4.6,5.0,20.2
Portugal,164.1,46.5,68.8,72.7,46.6,12.6,27.9,28.7,97.3,116.0,84.6,0.775,34.7,6.8,431.63,81.6,16.158,5.9679999351501465,45226.978,0.8,17.0,7.2
Croatia,164.0,58.0,74.0,65.1,46.9,13.4,26.0,31.3,89.0,106.0,71.95,0.733,29.5,13.8,185.63,78.6,14.290999999999997,6.125,42873.038,0.6,10.0,11.0
Australia,163.8,93.6,52.9,69.8,72.8,11.0,42.8,29.4,93.8,158.0,78.24,0.731,34.3,4.5,1621.48,83.0,7.875,7.094600200653076,64673.825,0.9,20.0,11.3
Czech Republic,163.6,64.9,73.2,75.5,48.6,12.9,29.2,34.8,79.1,179.0,83.58,0.711,26.2,11.5,388.54,79.1,13.203000000000005,6.845200061798096,49025.44,0.6,17.0,9.5
United Arab Emirates,163.2,98.7,84.4,69.2,57.8,4.2,37.4,49.0,45.8,104.0,42.99,0.716,26.0,43.0,683.91,76.1,2.621000000000002,6.571199893951416,88961.771,0.5,1.0,5.2
Singapore,160.9,103.0,76.5,70.6,81.9,14.9,41.4,33.3,57.5,156.0,47.88,0.727,45.9,13.4,1172.76,83.2,12.226,6.586699962615967,133107.623,0.2,1.0,9.7
United Kingdom,160.3,90.1,52.6,73.5,63.7,9.9,34.6,40.5,87.7,140.0,78.51,0.775,32.6,7.7,1584.06,81.4,10.467,6.795599937438965,56835.721,1.2,33.0,6.9
Belgium,156.5,90.7,50.8,75.3,63.0,6.8,35.5,49.7,86.0,97.0,76.47,0.789,26.0,9.4,601.65,81.4,11.927999999999995,6.859099864959717,65813.45,1.7,16.0,13.9
Saudi Arabia,155.1,105.1,73.1,60.4,47.4,3.2,30.9,64.1,55.3,207.0,32.43,0.603,45.9,26.5,329.79,74.3,1.7970000000000006,6.462600231170654,68452.845,1.3,7.0,5.4
Ireland,153.9,82.0,53.5,51.8,66.5,7.5,37.8,34.2,88.6,88.0,89.91,0.8,29.2,6.3,1157.43,81.8,8.246000000000002,6.910799980163574,137638.163,0.9,2.0,8.9
Latvia,152.5,51.9,62.6,62.6,51.4,9.4,29.0,30.8,74.7,172.0,83.27,0.778,35.7,8.0,451.14,75.4,13.941000000000004,6.212699890136719,40891.797,4.4,3.0,16.1
France,152.0,83.4,44.7,78.1,66.0,12.3,34.8,43.4,90.6,109.0,78.72,0.784,30.7,9.5,754.38,82.5,12.338,6.661300182342529,58765.134,1.2,52.0,9.7
Canada,150.2,83.3,54.8,69.1,68.4,11.0,34.6,30.2,51.4,88.0,83.53,0.772,31.7,10.3,822.78,82.2,11.124000000000002,6.960700035095215,59813.405,1.8,22.0,10.3
Israel,148.9,79.5,67.6,73.5,67.2,14.2,36.8,57.0,93.8,217.0,57.57,0.724,38.6,17.8,940.68,82.6,0.4840000000000017,7.472899913787842,54771.428,1.5,9.0,5.2
Slovakia,148.7,55.8,68.9,59.2,47.9,14.5,27.4,37.2,78.1,179.0,83.22,0.712,23.2,13.1,526.6,78.2,11.249000000000002,6.468599796295166,42228.008,1.1,8.0,9.3
Cyprus,148.3,59.4,67.6,57.2,57.1,8.1,23.4,56.4,92.8,103.0,68.62,0.707,31.7,14.3,463.29,83.1,7.25,6.130000114440918,53931.286,1.3,3.0,3.2
South Korea,142.3,90.6,75.1,82.7,64.4,19.9,40.4,61.4,68.4,103.0,70.83,0.687,31.4,19.2,350.07,83.3,13.734000000000002,5.951099872589111,56708.953,0.6,16.0,21.2
Kuwait,140.1,128.5,67.2,57.9,43.4,7.7,35.0,68.0,20.2,103.0,38.84,0.621,50.0,39.9,466.07,81.0,6.780999999999999,6.1,51764.825,1.8,0.0,2.7
South Africa,139.9,84.7,24.6,64.0,33.8,3.3,38.7,56.3,95.3,258.0,78.6,0.781,63.0,19.9,184.76,65.3,2.3790000000000013,5.274600028991699,16211.158,36.4,10.0,23.5
Italy,139.1,62.8,52.7,65.6,58.9,10.7,32.8,54.0,91.1,103.0,72.05,0.721,35.2,15.0,570.93,83.0,17.287999999999997,6.4045000076293945,54258.988,0.6,59.0,4.3
Uruguay,139.1,47.0,47.8,68.4,55.3,10.3,37.8,43.4,98.0,424.0,70.33,0.702,40.8,11.7,394.07,77.1,5.759999999999998,6.493899822235107,28983.788,12.1,3.0,18.8
Poland,137.4,66.2,69.3,55.4,41.9,12.2,32.9,57.5,75.9,197.0,67.66,0.713,28.8,14.1,330.16,78.3,11.677999999999995,6.259699821472168,45538.129,0.7,17.0,9.3
Bulgaria,133.5,52.6,62.9,57.2,38.7,8.9,29.1,63.3,82.8,101.0,62.98,0.746,40.5,13.2,450.29,75.1,14.595999999999997,5.466100215911865,33780.382,1.3,10.0,6.5
Hungary,133.2,49.8,66.3,54.0,43.4,13.8,35.8,48.0,79.5,203.0,62.96,0.688,29.7,12.0,341.91,76.4,13.336,6.041200160980225,43601.432,2.5,8.0,11.8
Romania,129.2,48.4,66.3,56.3,38.8,11.0,33.3,58.9,74.9,124.0,69.04,0.7,34.6,15.7,420.37,75.6,13.171,6.589099884033203,41029.176,1.3,9.0,7.3
Bosnia and Herzegovina,127.8,47.1,59.1,55.7,34.7,12.5,26.6,60.5,80.5,68.0,65.43,0.713,33.0,27.5,159.6,76.8,13.107999999999995,5.632500171661377,19633.561,1.2,4.0,8.3
