quality_of_life_numbeo,purchasing_power_numbeo,safety_numbeo,health_care_numbeo,cost_of_living_numbeo,property_price_to_income_numbeo,traffic_commute_time_numbeo,pollution_numbeo,climate_numbeo,country,gdp_ppp,homicide_rate,suicide_rate,life_expectancy
188.36,102.77,78.38,74.08,125.02,8.18,28.67,19.86,80.05,Switzerland,78111.508,0.6,9.8,83.4
186.25,86.43,73.78,79.79,88.53,7.0,28.69,21.29,81.8,Denmark,63404.856,1.0,7.6,81.3
180.27,76.65,72.84,75.28,78.93,7.28,27.64,25.39,87.0,Netherlands,61816.311,0.6,9.3,81.8
178.95,80.11,72.41,76.19,76.35,8.57,28.91,11.99,56.64,Finland,53083.92,1.6,13.4,81.6
178.41,91.07,56.97,77.86,80.75,7.27,34.81,23.69,92.7,Australia,55492.205,0.9,11.3,83.0
177.64,67.3,76.25,65.85,99.67,6.11,19.9,15.97,68.81,Iceland,59268.338,0.9,11.2,82.3
176.36,68.69,74.46,76.98,74.87,10.91,25.67,20.42,77.15,Austria,59405.59,1.0,10.4,81.6
175.24,89.86,64.21,73.49,67.85,8.88,31.22,27.81,82.82,Germany,58150.203,0.9,8.3,81.7
173.6,74.89,57.12,73.59,76.31,7.78,30.72,23.72,96.69,New Zealand,45879.609,0.7,10.3,82.0
171.81,87.76,65.87,72.92,85.3,13.0,31.79,23.27,82.62,Luxembourg,126568.69,0.3,8.6,82.4
171.72,73.55,66.28,75.59,103.56,8.09,26.93,18.09,68.68,Norway,69858.899,0.5,9.9,82.6
171.16,56.58,76.29,72.68,53.77,9.37,24.44,19.72,64.28,Estonia,41892.177,2.1,12.0,78.9
170.19,85.44,52.0,68.82,75.89,7.71,29.77,18.46,74.92,Sweden,57425.0,1.1,12.4,82.4
168.82,74.87,79.66,58.42,49.64,5.45,23.02,37.21,67.22,Oman,32326.574,0.3,4.5,73.9
165.74,52.08,77.72,65.19,56.4,11.67,26.93,22.65,77.56,Slovenia,43206.363,0.5,14.0,81.3
164.06,76.01,77.81,80.21,81.15,11.59,39.96,39.1,85.27,Japan,44934.938,0.3,12.2,84.3
163.6,94.32,52.19,69.11,70.55,4.04,32.87,39.26,77.49,United States,69375.375,5.0,14.5,78.5
163.48,58.5,66.68,78.85,56.64,9.22,29.28,39.73,93.65,Spain,42074.498,0.6,5.3,83.2
160.29,52.8,66.58,70.91,46.04,10.49,25.81,26.67,69.86,Lithuania,42091.309,4.6,20.2,76.0
